,Pair,Score,label,gpt_rating
1501,"(35111, 49250)",0.6915988075782712,positive,3.0
2586,"(48244, 85640)",0.7126007060236206,positive,3.0
2653,"(71229, 14783)",0.6416665010168962,positive,5.0
1055,"(42101, 15042)",0.5392169844649259,positive,2.0
705,"(4748, 70103)",0.6846668642683992,positive,7.0
106,"(87538, 82828)",0.6425729380065774,positive,5.0
589,"(44425, 78550)",0.7858777731031263,positive,7.0
2468,"(9686, 47612)",0.6838878437417067,positive,7.0
2413,"(57993, 44315)",0.6699323602033624,positive,7.0
1600,"(54620, 43105)",0.6557213454893449,positive,7.0
2464,"(98117, 94174)",0.5579151478852955,positive,7.0
228,"(70467, 82644)",0.7304281815773617,positive,3.0
915,"(58243, 18291)",0.5185736620073284,positive,3.0
794,"(61813, 80855)",0.53008247100233,positive,3.0
3021,"(6397, 5500)",0.6846759831463968,positive,3.0
3543,"(5410, 6523)",0.7152724687278027,positive,7.0
1073,"(82180, 30085)",0.6340042965958499,positive,3.0
1744,"(45648, 46699)",0.5574107462480089,positive,3.0
1084,"(93070, 75141)",0.6027877854680949,positive,3.0
926,"(87044, 76832)",0.6120108019526087,positive,7.0
3049,"(68920, 35866)",0.47619254002920874,positive,5.0
1117,"(20611, 30641)",0.5960387251263277,positive,7.0
642,"(11130, 71716)",0.5260969743257154,positive,3.0
4767,"(36963, 76219)",0.575271561277376,positive,3.0
501,"(54340, 88963)",0.7097024364614537,positive,5.0
4066,"(5793, 42445)",0.6934930279717615,positive,7.0
333,"(17429, 68086)",0.5572734024346098,positive,5.0
4684,"(59722, 41645)",0.5716817695962012,positive,3.0
486,"(53222, 25405)",0.7277253410313859,positive,3.0
1962,"(43408, 51268)",0.6661692850832168,positive,5.0
393,"(82074, 64734)",0.6833227970038664,positive,5.0
4842,"(73788, 58519)",0.5989778625000476,positive,3.0
4866,"(10103, 26834)",0.55807829934814,positive,3.0
1755,"(86231, 100528)",0.7120988062423507,positive,7.0
2515,"(16163, 99194)",0.6095441196505121,positive,3.0
3585,"(83276, 62694)",0.660254172817779,positive,3.0
4315,"(93935, 85244)",0.6728386996044163,positive,5.0
4966,"(23408, 4151)",0.7653761468927909,positive,3.0
2099,"(26723, 30520)",0.7624350589590478,positive,5.0
3599,"(22432, 22651)",0.6306379643428335,positive,3.0
4121,"(26654, 33522)",0.6738800418327382,positive,5.0
29,"(2747, 92958)",0.6634562720002627,positive,7.0
65,"(52995, 40884)",0.7705404748561357,positive,3.0
838,"(21949, 39084)",0.6004939632742108,positive,5.0
3906,"(24045, 15638)",0.7364992518766986,positive,3.0
3773,"(20538, 61735)",0.5812034338263938,positive,5.0
4635,"(50445, 27852)",0.6403847572081951,positive,3.0
3161,"(69286, 97205)",0.7623419656416688,positive,3.0
